transaction_id,order_id,customer_id,customer_email,transaction_timestamp,product_id,category,quantity,unit_price,payment_method,status,run_id,rejection_reasons
TXN-10002,ORD-50002,,user_947@company.org,2026-07-27 17:29:23,PROD-5063,Books,6.0,458.38,Credit Card,Pending,RUN-20260809-162605,DQ_RULE_01: customer_id is NULL or blank
TXN-10006,ORD-50006,CUST-778,user_744@outlook.com,2026-07-27 21:04:43,PROD-6889,Books,3.0,0.0,PayPal,Completed,RUN-20260809-162605,DQ_RULE_03: unit_price (0.0) must be > 0
TXN-10013,ORD-50013,CUST-647,user_609@gmail.com,2026-08-01 08:07:56,PROD-9943,Apparel,,73.93,PayPal,Pending,RUN-20260809-162605,DQ_RULE_04: quantity is NULL/NaN
TXN-10016,ORD-50016,CUST-922,user_529@company.org,2026-07-28 08:23:45,PROD-6913,Beauty,8.0,,UPI,Failed,RUN-20260809-162605,DQ_RULE_03: unit_price is NULL/NaN
TXN-10023,ORD-50023,CUST-471,user_857@outlook.com,2026-07-29 15:36:01,PROD-4350,Electronics,-4.0,400.6,Debit Card,Pending,RUN-20260809-162605,DQ_RULE_04: quantity (-4.0) must be > 0
TXN-10024,ORD-50024,CUST-371,user_519gmail.com,2026-07-29 20:51:23,PROD-7068,Electronics,4.0,399.5,Debit Card,Completed,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_519gmail.com)
TXN-10026,ORD-50026,CUST-952,user_760@gmail.com,2026-07-27 12:09:40,PROD-5610,Sports,-1.0,139.19,PayPal,Completed,RUN-20260809-162605,DQ_RULE_04: quantity (-1.0) must be > 0
TXN-10031,ORD-50031,CUST-398,user_657@outlook.com,2026-07-26 12:14:18,PROD-8215,Electronics,,31.61,Credit Card,Completed,RUN-20260809-162605,DQ_RULE_04: quantity is NULL/NaN
TXN-10037,ORD-50037,CUST-753,user_322@yahoo.com,2026-07-27 12:35:29,PROD-2107,Beauty,6.0,0.0,Debit Card,Failed,RUN-20260809-162605,DQ_RULE_03: unit_price (0.0) must be > 0
TXN-10044,ORD-50044,CUST-659,user_561@outlook.com,2026-07-26 03:32:04,PROD-3971,Beauty,-1.0,93.93,Debit Card,Failed,RUN-20260809-162605,DQ_RULE_04: quantity (-1.0) must be > 0
TXN-10052,ORD-50052,CUST-711,user_516@company.org,2026-07-31 10:34:48,PROD-2055,Apparel,5.0,,PayPal,Failed,RUN-20260809-162605,DQ_RULE_03: unit_price is NULL/NaN
TXN-10056,ORD-50056,CUST-312,user_463@company.org,2026-07-27 12:29:48,PROD-3228,Electronics,9.0,-45.33,PayPal,Pending,RUN-20260809-162605,DQ_RULE_03: unit_price (-45.33) must be > 0
TXN-10061,ORD-50028,CUST-845,user_981@outlook.com,2026-07-27 00:16:53,PROD-6977,Sports,6.0,172.13,Credit Card,Failed,RUN-20260809-162605,DQ_RULE_06: Duplicate order_id detected (ORD-50028)
TXN-10067,ORD-50067,,user_890@outlook.com,2026-07-28 23:24:32,PROD-3707,Apparel,4.0,23.34,Debit Card,Pending,RUN-20260809-162605,DQ_RULE_01: customer_id is NULL or blank
TXN-10068,ORD-50068,CUST-562,user_601@yahoo.com,2026-07-30 13:58:33,PROD-4741,Books,0.0,437.42,Credit Card,Pending,RUN-20260809-162605,DQ_RULE_04: quantity (0.0) must be > 0
TXN-10072,ORD-50072,CUST-748,user_752@outlook.com,2026-07-29 22:02:15,PROD-6463,Books,0.0,246.45,PayPal,Pending,RUN-20260809-162605,DQ_RULE_04: quantity (0.0) must be > 0
TXN-10076,ORD-50076,,user_588@gmail.com,2026-07-26 11:43:34,PROD-8783,Books,6.0,8.03,Credit Card,Completed,RUN-20260809-162605,DQ_RULE_01: customer_id is NULL or blank
TXN-10077,ORD-50077,CUST-695,user_208@company.org,2026-07-30 14:59:08,PROD-3251,Sports,,334.83,UPI,Completed,RUN-20260809-162605,DQ_RULE_04: quantity is NULL/NaN
TXN-10080,ORD-50080,CUST-115,user_884@yahoo.com,2026-07-25 23:28:12,PROD-9138,Sports,-2.0,334.29,PayPal,Completed,RUN-20260809-162605,DQ_RULE_04: quantity (-2.0) must be > 0
TXN-10086,ORD-50054,CUST-460,user_910@outlook.com,2026-07-29 19:34:47,PROD-5534,Books,8.0,92.38,Debit Card,Pending,RUN-20260809-162605,DQ_RULE_06: Duplicate order_id detected (ORD-50054)
TXN-10088,ORD-50088,CUST-924,user_633@outlook.com,2026-07-27 09:42:13,PROD-3930,Apparel,-2.0,37.83,UPI,Completed,RUN-20260809-162605,DQ_RULE_04: quantity (-2.0) must be > 0
TXN-10089,ORD-50089,CUST-267,user_723@company.org,2026-07-26 19:57:13,PROD-7577,Beauty,6.0,,UPI,Completed,RUN-20260809-162605,DQ_RULE_03: unit_price is NULL/NaN
TXN-10095,ORD-50095,CUST-634,user_901@gmail,2026-08-01 06:00:31,PROD-6706,Sports,3.0,94.18,PayPal,Completed,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_901@gmail)
TXN-10096,ORD-50096,CUST-948,user_742@gmail.com,2026-07-27 02:56:37,PROD-9708,Electronics,-4.0,460.8,PayPal,Failed,RUN-20260809-162605,DQ_RULE_04: quantity (-4.0) must be > 0
TXN-10102,ORD-50038,CUST-302,user_715@yahoo.com,2026-07-28 02:37:18,PROD-3705,Sports,6.0,275.73,Credit Card,Completed,RUN-20260809-162605,DQ_RULE_06: Duplicate order_id detected (ORD-50038)
TXN-10104,ORD-50104,CUST-672,user_486gmail.com,2026-07-26 17:12:40,PROD-6779,Books,4.0,67.28,Debit Card,Failed,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_486gmail.com)
TXN-10108,ORD-50108,CUST-590,user_642@gmail.com,2026-07-29 18:29:28,PROD-4258,Sports,5.0,0.0,Debit Card,Pending,RUN-20260809-162605,DQ_RULE_03: unit_price (0.0) must be > 0
TXN-10111,ORD-50111,CUST-825,user_877@yahoo.com,2026-07-30 11:11:46,PROD-3542,Electronics,6.0,0.0,Credit Card,Failed,RUN-20260809-162605,DQ_RULE_03: unit_price (0.0) must be > 0
TXN-10117,ORD-50117,CUST-425,user_795gmail.com,2026-07-26 23:39:19,PROD-9986,Electronics,7.0,388.64,Debit Card,Pending,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_795gmail.com)
TXN-10119,ORD-50119,CUST-537,user_521@yahoo.com,2026-07-30 13:55:55,PROD-3895,Electronics,-5.0,315.28,Credit Card,Pending,RUN-20260809-162605,DQ_RULE_04: quantity (-5.0) must be > 0
