transaction_id,order_id,customer_id,customer_email,transaction_timestamp,product_id,category,quantity,unit_price,payment_method,status
TXN-10001,ORD-50001,CUST-677,user_841@yahoo.com,2026-07-29 23:26:05,PROD-3593,Apparel,2.0,440.02,PayPal,Failed
TXN-10002,ORD-50002,,user_947@company.org,2026-07-27 17:29:23,PROD-5063,Books,6.0,458.38,Credit Card,Pending
TXN-10003,ORD-50003,CUST-407,user_612@outlook.com,2026-08-01 02:51:06,PROD-5783,Electronics,1.0,169.0,Debit Card,Completed
TXN-10004,ORD-50004,CUST-243,user_784@company.org,2026-08-01 04:09:05,PROD-3159,Sports,9.0,86.46,Debit Card,Failed
TXN-10005,ORD-50005,CUST-925,user_964@gmail.com,2026-07-27 22:05:28,PROD-2766,Books,6.0,473.1,Credit Card,Completed
TXN-10006,ORD-50006,CUST-778,user_744@outlook.com,2026-07-27 21:04:43,PROD-6889,Books,3.0,0.0,PayPal,Completed
TXN-10007,ORD-50007,CUST-360,user_577@yahoo.com,2026-07-30 02:42:26,PROD-3648,Apparel,6.0,105.83,Debit Card,Pending
TXN-10008,ORD-50008,CUST-994,user_481@gmail.com,2026-07-30 08:56:38,PROD-9294,Books,2.0,15.91,Debit Card,Pending
TXN-10009,ORD-50009,CUST-108,user_851@company.org,2026-07-26 13:01:33,PROD-6995,Apparel,4.0,38.2,Debit Card,Completed
TXN-10010,ORD-50010,CUST-246,user_257@company.org,2026-07-25 22:00:41,PROD-2595,Electronics,8.0,493.98,PayPal,Pending
TXN-10011,ORD-50011,CUST-986,user_869@gmail.com,2026-07-29 04:58:42,PROD-4227,Beauty,6.0,442.48,Debit Card,Failed
TXN-10012,ORD-50012,CUST-345,user_315@company.org,2026-08-01 06:25:16,PROD-9730,Sports,9.0,490.29,PayPal,Pending
TXN-10013,ORD-50013,CUST-647,user_609@gmail.com,2026-08-01 08:07:56,PROD-9943,Apparel,,73.93,PayPal,Pending
TXN-10014,ORD-50014,CUST-424,user_890@yahoo.com,2026-07-29 17:18:42,PROD-2682,Home & Kitchen,1.0,275.91,UPI,Completed
TXN-10015,ORD-50015,CUST-139,user_885@company.org,2026-08-01 07:49:26,PROD-1079,Sports,5.0,161.59,Debit Card,Completed
TXN-10016,ORD-50016,CUST-922,user_529@company.org,2026-07-28 08:23:45,PROD-6913,Beauty,8.0,,UPI,Failed
TXN-10017,ORD-50017,CUST-431,user_571@gmail.com,2026-07-28 10:18:53,PROD-2818,Home & Kitchen,3.0,444.64,Credit Card,Completed
TXN-10018,ORD-50018,CUST-557,user_587@company.org,2026-07-25 12:26:01,PROD-7707,Electronics,1.0,473.0,Debit Card,Pending
TXN-10019,ORD-50019,CUST-839,user_138@company.org,2026-07-29 04:52:06,PROD-3770,Sports,3.0,445.27,Debit Card,Failed
TXN-10020,ORD-50020,CUST-457,user_730@yahoo.com,2026-07-25 11:33:29,PROD-8854,Apparel,2.0,82.02,PayPal,Completed
TXN-10021,ORD-50021,CUST-228,user_441@outlook.com,2026-07-28 17:47:30,PROD-4782,Electronics,10.0,175.97,Credit Card,Failed
TXN-10022,ORD-50022,CUST-494,user_268@company.org,2026-07-26 16:01:41,PROD-1989,Sports,2.0,40.53,UPI,Pending
TXN-10023,ORD-50023,CUST-471,user_857@outlook.com,2026-07-29 15:36:01,PROD-4350,Electronics,-4.0,400.6,Debit Card,Pending
TXN-10024,ORD-50024,CUST-371,user_519gmail.com,2026-07-29 20:51:23,PROD-7068,Electronics,4.0,399.5,Debit Card,Completed
TXN-10025,ORD-50025,CUST-210,user_303@outlook.com,2026-07-28 22:00:42,PROD-1102,Books,5.0,429.84,PayPal,Failed
